iter	MultiClass
0	1.366951468
1	1.216394906
2	1.1079858
3	1.018933015
4	0.9476737657
5	0.8863363375
6	0.836008811
7	0.7984006216
8	0.761122946
9	0.7313176745
10	0.7011460839
11	0.6757492063
12	0.6530904105
13	0.6353084802
14	0.6194225575
15	0.60448585
16	0.5924298496
17	0.5803138908
18	0.5697214394
19	0.5609072263
20	0.5522961671
21	0.5430029908
22	0.5363782979
23	0.5312337978
24	0.5255791151
25	0.5188170933
26	0.5139888639
27	0.5097916963
28	0.5061620093
29	0.501389336
30	0.4964315
31	0.494151485
32	0.4912571111
33	0.4884248911
34	0.4859992007
35	0.4833175698
36	0.4803411788
37	0.4787928942
38	0.4767482748
39	0.4735674765
40	0.4708617066
41	0.4696496589
42	0.4677680653
43	0.4662547429
44	0.4645865821
45	0.4631554702
46	0.4617020107
47	0.4598652842
48	0.4588305972
49	0.457352479
50	0.4556863448
51	0.454522275
52	0.4521773985
53	0.4504827632
54	0.4490225541
55	0.4478869613
56	0.4456446975
57	0.4432952222
58	0.4421841848
59	0.4409805387
60	0.4395123283
61	0.437954497
62	0.4368569147
63	0.4350863672
64	0.4340788316
65	0.4333872003
66	0.4322070785
67	0.4305292643
68	0.4293457162
69	0.4282426858
70	0.4275315917
71	0.4268337209
72	0.4251685095
73	0.4243101102
74	0.4216844512
75	0.4207549008
76	0.4200233696
77	0.4189639651
78	0.4177973882
79	0.4166887927
80	0.4158799648
81	0.4147136835
82	0.4133414822
83	0.4130383136
84	0.4108158274
85	0.4097391872
86	0.4088830704
87	0.4075634522
88	0.4073019819
89	0.4062675523
90	0.4053261824
91	0.4045104985
92	0.4032403629
93	0.4019265719
94	0.4009864135
95	0.3999103036
96	0.3990787371
97	0.3980745002
98	0.3971068003
99	0.3955223198
100	0.3938440629
101	0.3929436592
102	0.3921659296
103	0.3912401817
104	0.3904178997
105	0.3890236286
106	0.3884707953
107	0.3879752631
108	0.3871029508
109	0.3857092633
110	0.3850555961
111	0.3842569174
112	0.3831640373
113	0.3823871484
114	0.3815480508
115	0.3808509107
116	0.3803751163
117	0.3795196387
118	0.3789059648
119	0.3784190956
120	0.3779741331
121	0.3773281765
122	0.3765143403
123	0.3757674959
124	0.3751219204
125	0.3742728756
126	0.373963035
127	0.3734520855
128	0.3726057012
129	0.3717920648
130	0.3710224647
131	0.3705585809
132	0.3695711892
133	0.3690728115
134	0.3682443544
135	0.3677041999
136	0.3666101408
137	0.3656697699
138	0.3642970394
