iter	Passed	Remaining
0	3	3170
1	5	2591
2	7	2550
3	10	2619
4	12	2512
5	15	2493
6	17	2440
7	19	2419
8	22	2432
9	24	2392
10	26	2357
11	28	2349
12	30	2348
13	33	2331
14	35	2318
15	37	2298
16	39	2290
17	41	2259
18	43	2241
19	45	2225
20	47	2204
21	49	2181
22	50	2160
23	52	2144
24	54	2126
25	56	2106
26	58	2102
27	60	2092
28	62	2080
29	64	2071
30	65	2059
31	67	2045
32	69	2037
33	71	2032
34	73	2026
35	75	2020
36	77	2017
37	79	2014
38	81	2011
39	83	2015
40	86	2013
41	88	2017
42	90	2018
43	92	2017
44	95	2019
45	97	2028
46	100	2030
47	102	2036
48	105	2037
49	107	2040
50	109	2045
51	112	2042
52	114	2040
53	116	2042
54	118	2042
55	121	2044
56	123	2045
57	125	2045
58	128	2050
59	130	2050
60	133	2052
61	135	2052
62	137	2050
63	140	2049
64	142	2047
65	144	2046
66	147	2048
67	149	2049
68	152	2060
69	155	2064
70	157	2063
71	160	2062
72	162	2067
73	165	2068
74	167	2070
75	170	2069
76	172	2073
77	175	2080
78	178	2079
79	181	2084
80	183	2085
81	186	2088
82	189	2093
83	192	2094
84	194	2095
85	197	2094
86	199	2091
87	202	2094
88	204	2097
89	207	2097
90	209	2095
91	212	2101
92	215	2099
93	217	2099
94	220	2100
95	222	2098
96	225	2097
97	227	2096
98	230	2094
99	232	2091
100	234	2089
101	236	2085
102	238	2078
103	240	2074
104	243	2073
105	245	2068
106	247	2064
107	249	2060
108	251	2056
109	253	2050
110	255	2044
111	257	2039
112	259	2035
113	261	2029
114	263	2027
115	265	2021
116	267	2015
117	269	2012
118	271	2008
119	273	2003
120	275	1999
121	277	1995
122	278	1989
123	280	1983
124	282	1980
125	285	1977
126	286	1971
127	288	1968
128	291	1966
129	293	1963
130	295	1960
131	297	1955
132	299	1949
133	301	1947
134	303	1942
135	305	1939
136	307	1935
137	309	1932
138	311	1927
139	313	1922
140	315	1919
141	316	1914
142	318	1909
143	321	1909
144	323	1906
145	325	1904
146	328	1904
147	330	1901
148	332	1901
149	335	1900
150	337	1897
151	339	1895
152	341	1893
153	344	1889
154	346	1889
155	348	1887
156	351	1886
157	353	1886
158	356	1883
159	358	1882
160	361	1881
161	363	1881
162	365	1879
163	368	1877
164	370	1876
165	373	1875
166	375	1874
167	379	1878
168	382	1878
169	384	1877
170	386	1876
171	389	1873
172	391	1871
173	393	1869
174	395	1866
175	398	1867
176	400	1863
177	403	1862
178	405	1860
179	407	1857
180	409	1854
181	412	1852
182	413	1848
183	415	1844
184	418	1843
185	420	1841
186	422	1838
187	425	1836
188	427	1833
189	429	1831
190	431	1828
191	433	1826
192	436	1824
193	438	1822
194	440	1818
195	442	1815
196	444	1812
197	446	1808
198	448	1806
199	451	1804
200	452	1800
201	454	1797
202	456	1793
203	458	1789
204	460	1785
205	462	1783
206	464	1780
207	466	1776
208	468	1774
209	470	1771
210	472	1768
211	474	1765
212	477	1763
213	478	1759
214	481	1756
215	483	1754
216	485	1750
217	487	1747
218	489	1744
219	490	1740
220	492	1736
221	495	1734
222	497	1731
223	499	1728
224	501	1727
225	503	1723
226	505	1720
227	507	1718
228	509	1715
229	511	1711
230	513	1709
231	515	1705
232	517	1702
233	519	1699
234	521	1696
235	522	1693
236	525	1690
237	527	1688
238	529	1684
239	531	1681
240	533	1678
241	535	1675
242	536	1672
243	538	1668
244	540	1666
